Wall time,Step,Value
1768823065.8311665,1,0.7171074151992798
1768823065.8872697,1,0.6652293801307678
1768823066.0378616,2,0.7626216411590576
1768823066.0866058,2,0.6861552596092224
1768823066.1670313,2,0.6019294857978821
1768823066.2317884,3,0.7571327686309814
1768823066.3636563,3,0.6401263475418091
1768823066.388982,3,0.6955028772354126
1768823066.4264567,4,0.6779819130897522
1768823066.658247,4,0.6542847752571106
1768823067.1061711,6,0.7149593830108643
1768823067.248274,7,0.7112900018692017
1768823067.3714035,8,0.7142776846885681
1768823067.5175564,8,0.7105318307876587
1768823067.593967,8,0.657812774181366
1768823067.6378684,9,0.7299013733863831
1768823067.7172196,9,0.6576207280158997
1768823067.806528,9,0.7302299737930298
1768823068.045,10,0.6668270826339722
1768823068.0713892,10,0.6920599341392517
1768823068.109976,11,0.693402886390686
1768823068.1404185,11,0.6887434124946594
1768823068.1717741,11,0.7063143849372864
1768823068.5223138,12,0.6581436991691589
1768823068.6258109,13,0.6971398591995239
1768823068.7127957,13,0.7047913670539856
1768823068.7595508,13,0.6923189759254456
1768823068.8051257,13,0.6834580302238464
1768823068.9920197,14,0.6988521218299866
1768823069.0414016,14,0.7068995237350464
1768823069.1038985,14,0.6943564414978027
1768823069.122491,14,0.7153909206390381
1768823069.552753,15,0.7503074407577515
1768823069.8613007,16,0.7291885614395142
1768823070.0838664,17,0.6870337724685669
1768823070.1394072,17,0.7179250717163086
1768823070.4236226,18,0.6506878137588501
1768823070.8477857,20,0.6446861028671265
1768823070.985021,21,0.6626765727996826
1768823071.0328896,21,0.7416045665740967
1768823071.6930387,22,0.7198638319969177
1768823071.924026,23,0.5990122556686401
1768823072.2510002,23,0.718377947807312
1768823073.1899483,25,0.6946120858192444
1768823073.3493645,25,0.7248042821884155
1768823073.7203443,25,0.6984015703201294
1768823073.8607967,26,0.6449935436248779
1768823074.661683,27,0.6855705976486206
1768823074.8169532,27,0.7116536498069763
1768823075.1337461,28,0.7044237852096558
1768823075.260031,28,0.7057034969329834
1768823075.3630147,28,0.7030074000358582
1768823075.9998834,30,0.6756439805030823
1768823076.5476835,31,0.6963953375816345
1768823076.8482356,31,0.6443853974342346
1768823076.9328632,31,0.7312548160552979
1768823077.0031986,31,0.6278499364852905
1768823077.307747,32,0.7322129011154175
1768823077.5295367,33,0.6969864368438721
1768823077.652547,33,0.6827740669250488
1768823077.7131436,33,0.6866229176521301
1768823077.9510696,34,0.7030875086784363
1768823078.4036574,35,0.6772916913032532
1768823078.4700053,35,0.696619987487793
1768823078.6546934,36,0.7021083235740662
1768823078.9482408,36,0.6695324182510376
1768823079.1124768,37,0.6304599046707153
1768823079.202741,37,0.710914671421051
1768823079.3993998,37,0.7190501689910889
1768823079.512652,38,0.6169745326042175
1768823079.5713065,38,0.6972068548202515
1768823080.040982,39,0.6646308898925781
1768823080.4103942,41,0.729759156703949
1768823080.4555972,41,0.7034202814102173
1768823080.5203722,41,0.6660665273666382
1768823080.7109883,42,0.6554470658302307
1768823081.3381388,44,0.6902385354042053
1768823081.4039972,44,0.6768804788589478
